addresstype,city,dt,summary,temp_min,temp_max,temp_day,feels_like_day,feels_like_night,feels_like_eve,feels_like_morn,humidity,clouds,pop,rain,uvi,wind_speed
city,Le Havre,2024-06-24 14:00:00,"You can expect clear sky in the morning, with partly cloudy in the afternoon",13.84,19.56,19.3,19.11,17.96,19.63,14.73,70,5,0.0,,8.25,5.21
city,Le Havre,2024-06-25 14:00:00,Expect a day of partly cloudy with rain,16.29,20.57,20.57,20.72,18.39,20.17,17.32,78,1,0.23,0.11,7.37,6.06
city,Le Havre,2024-06-26 14:00:00,Expect a day of partly cloudy with rain,15.88,18.87,17.73,18.01,15.85,16.18,18.16,94,100,1.0,6.81,8.0,11.76
city,Le Havre,2024-06-27 14:00:00,Expect a day of partly cloudy with rain,14.35,17.44,17.01,16.72,13.96,16.24,14.25,75,87,0.97,2.19,8.0,10.82
city,Le Havre,2024-06-28 14:00:00,Expect a day of partly cloudy with clear spells,12.4,16.6,15.58,15.2,15.55,16.27,13.02,77,57,0.0,,8.0,5.81
city,Lille,2024-06-21 13:00:00,Expect a day of partly cloudy with rain,13.8,21.73,16.65,16.54,13.51,19.59,14.83,83,100,1.0,2.27,5.11,5.5
city,Lille,2024-06-22 13:00:00,Expect a day of partly cloudy with rain,12.9,17.8,15.5,15.35,13.41,17.17,12.82,86,100,1.0,4.24,5.85,5.03
city,Lille,2024-06-23 13:00:00,Expect a day of partly cloudy with clear spells,11.69,22.21,21.41,21.09,14.78,20.54,12.59,57,26,0.0,,8.07,4.58
city,Lille,2024-06-24 13:00:00,Expect a day of partly cloudy with clear spells,12.86,24.67,23.72,23.56,17.98,23.3,13.51,54,17,0.0,,7.22,3.53
city,Lille,2024-06-25 13:00:00,There will be clear sky today,15.4,26.24,25.61,25.58,19.79,24.84,17.72,52,0,0.0,,7.23,3.56
city,Lille,2024-06-26 13:00:00,Expect a day of partly cloudy with rain,16.31,27.2,27.2,27.42,16.37,18.98,19.99,47,35,1.0,14.61,8.0,5.88
city,Lille,2024-06-27 13:00:00,"There will be rain until morning, then partly cloudy",14.27,21.37,18.51,18.01,14.56,18.44,15.13,61,90,0.85,,8.0,5.33
city,Lille,2024-06-28 13:00:00,Expect a day of partly cloudy with rain,12.23,20.79,20.79,20.41,15.56,18.26,13.78,57,100,0.58,0.72,8.0,3.85
city,Lyon,2024-06-21 13:00:00,Expect a day of partly cloudy with rain,15.84,21.5,20.23,20.37,15.8,20.03,18.09,79,87,1.0,19.1,6.92,4.19
city,Lyon,2024-06-22 13:00:00,Expect a day of partly cloudy with rain,13.99,22.01,19.09,19.12,14.92,18.56,14.68,79,87,1.0,5.62,6.57,4.26
city,Lyon,2024-06-23 13:00:00,Expect a day of partly cloudy with rain,12.88,21.09,17.56,17.38,17.09,19.08,12.68,77,80,1.0,17.12,7.67,8.03
city,Lyon,2024-06-24 13:00:00,Expect a day of partly cloudy with rain,13.63,24.02,22.52,22.42,18.53,22.92,14.17,61,95,0.29,0.46,9.14,4.55
city,Lyon,2024-06-25 13:00:00,Expect a day of partly cloudy with rain,16.0,25.66,25.5,25.59,19.58,23.79,18.13,57,34,1.0,2.8,8.89,3.11
city,Lyon,2024-06-26 13:00:00,Expect a day of partly cloudy with rain,16.64,23.6,23.6,23.97,18.26,20.47,18.49,75,93,1.0,18.45,9.0,2.47
city,Lyon,2024-06-27 13:00:00,Expect a day of partly cloudy with rain,13.36,20.15,20.15,19.58,13.1,16.5,14.47,52,99,1.0,2.97,9.0,3.45
city,Lyon,2024-06-28 13:00:00,Expect a day of partly cloudy with rain,12.41,13.36,12.88,12.52,12.6,12.58,12.69,88,100,1.0,4.26,9.0,1.6
city,Marseille,2024-06-21 13:00:00,Expect a day of partly cloudy with rain,21.11,24.56,22.17,22.35,23.22,23.69,21.44,73,0,1.0,1.66,7.08,8.18
city,Marseille,2024-06-22 13:00:00,"The day will start with clear sky through the late morning hours, transitioning to partly cloudy",19.6,24.99,23.81,23.55,20.0,23.28,19.39,50,11,0.0,,7.84,10.69
city,Marseille,2024-06-23 13:00:00,Expect a day of partly cloudy with rain,18.06,22.35,21.45,21.01,18.07,19.17,18.03,52,17,0.84,1.53,8.62,15.04
city,Marseille,2024-06-24 13:00:00,Expect a day of partly cloudy with clear spells,18.07,22.49,22.16,21.89,20.99,21.63,18.16,56,26,0.29,,8.94,3.64
city,Marseille,2024-06-25 13:00:00,"You can expect partly cloudy in the morning, with clearing in the afternoon",20.5,22.37,22.37,22.33,21.49,22.08,20.5,64,99,0.0,,8.97,3.9
city,Marseille,2024-06-26 13:00:00,"There will be clear sky until morning, then partly cloudy",20.41,22.42,21.84,22.14,21.9,22.19,20.85,79,94,0.0,,9.0,5.89
city,Marseille,2024-06-27 13:00:00,Expect a day of partly cloudy with rain,20.03,22.8,22.8,22.55,20.2,20.91,20.02,54,100,0.2,0.21,9.0,10.99
city,Marseille,2024-06-28 13:00:00,Expect a day of partly cloudy with clear spells,16.76,22.23,21.65,21.12,18.87,21.06,15.98,48,14,0.0,,9.0,12.26
town,Montauban,2024-06-21 13:00:00,Expect a day of partly cloudy with rain,14.53,21.07,17.74,17.66,15.67,20.85,14.87,80,100,1.0,2.52,6.04,5.43
town,Montauban,2024-06-22 13:00:00,Expect a day of partly cloudy with rain,11.86,19.39,16.52,16.45,14.84,15.73,12.02,85,100,1.0,1.14,4.92,5.81
town,Montauban,2024-06-23 13:00:00,Expect a day of partly cloudy with rain,13.3,22.16,20.15,19.79,15.67,21.71,13.22,60,14,0.73,0.28,5.55,6.02
town,Montauban,2024-06-24 13:00:00,There will be clear sky today,12.21,24.83,22.85,22.71,19.49,24.65,12.18,58,0,0.0,,9.17,3.3
town,Montauban,2024-06-25 13:00:00,Expect a day of partly cloudy with clear spells,16.22,27.57,26.44,26.44,21.35,28.15,17.91,55,0,0.23,,8.88,3.6
town,Montauban,2024-06-26 13:00:00,"There will be partly cloudy until morning, then rain",14.64,19.62,18.53,18.81,14.54,19.7,18.71,91,100,1.0,9.71,9.0,5.35
town,Montauban,2024-06-27 13:00:00,Expect a day of partly cloudy with rain,11.09,19.88,16.4,16.11,13.65,16.29,12.82,77,94,1.0,2.76,9.0,5.79
town,Montauban,2024-06-28 13:00:00,Expect a day of partly cloudy with rain,10.94,19.8,19.2,18.79,12.94,16.82,12.48,62,33,0.2,0.84,9.0,8.37
city,Paris,2024-06-21 13:00:00,Expect a day of partly cloudy with rain,16.23,20.71,17.26,17.37,16.65,20.5,16.45,89,100,1.0,16.78,3.58,3.18
city,Paris,2024-06-22 13:00:00,Expect a day of partly cloudy with rain,12.85,18.81,17.79,17.66,13.7,17.49,12.65,78,90,1.0,8.31,5.68,4.59
city,Paris,2024-06-23 13:00:00,"You can expect clear sky in the morning, with partly cloudy in the afternoon",11.52,23.33,22.09,21.69,17.63,21.13,11.73,51,5,0.0,,8.47,3.98
city,Paris,2024-06-24 13:00:00,Expect a day of partly cloudy with clear spells,14.25,26.2,25.26,25.07,20.72,24.4,14.59,47,8,0.0,,8.51,3.85
city,Paris,2024-06-25 13:00:00,Expect a day of partly cloudy with clear spells,17.44,28.4,27.67,27.51,22.56,26.12,19.03,42,0,0.0,,8.06,3.79
city,Paris,2024-06-26 13:00:00,Expect a day of partly cloudy with rain,17.91,24.49,22.3,22.75,17.79,21.19,20.52,83,64,1.0,5.22,9.0,6.38
city,Paris,2024-06-27 13:00:00,Expect a day of partly cloudy with rain,14.42,19.09,19.09,18.36,14.27,17.51,14.26,50,77,1.0,2.64,9.0,5.42
city,Paris,2024-06-28 13:00:00,Expect a day of partly cloudy with rain,11.36,19.86,18.13,17.62,16.27,19.09,11.86,62,100,0.86,0.36,9.0,2.65
city,Rouen,2024-06-21 13:00:00,Expect a day of partly cloudy with rain,14.39,22.03,19.22,19.08,14.23,19.84,15.57,72,100,0.6,0.2,6.25,5.52
